rid,uid,role,feature,benefit,novelty_avg
1035,169,responsible pet owner,to be able to control adding more food or water to my pet's dishes remotely,my pet won't run out of food or water while I'm gone,Safety,4.0000
1036,173,home owner,my trash cans and recycling bin automatically returned to my garage after trash pickup,no one is aware that I am not home because of my empty trash receptacles on the curb,Safety,4.6667
1037,167,home occupant,a self-loading dishwasher,I can save time when its mealtime,Health,4.0000
1038,170,home owner,A smart dirty clothes hamper that takes clothes and sorts then and washes at a specified time,I can save time on doing laundry,Health,3.0000
1039,169,food preparer,a waterproof screen in the kitchen that can look up recipes and play cooking instructional videos without me having to touch it,I can receive help cooking without destroying my laptop or other device with messy hands,Entertainment,4.6667
1041,167,home occupant,self scrubbing carpets,I never have to pay for a deep cleaner when i move,Health,4.0000
1042,167,home occupant,TV's with netflix in the bathrooms,i can relax at night once my son is in bed,Entertainment,3.3333
1043,170,home owner,Bed that makes itself,I can save time on making the bed,Other,4.0000
1044,167,home occupant,Solar panels,I can save on electricity and reduce my carbon imprint,Energy,3.0000
1045,173,home owner,to be alerted whenever my favorite celebrities have a show or movie on tv,I do not miss an airing of my favorite actors and actresses,Entertainment,3.0000
1046,169,home occupant,smart smoke and carbon monoxide monitor that is more interactive than a simple alarm that's confusing and frustrating,I can be assured I'm safe and don't have to mess to antiquated devices,Safety,3.3333
1047,167,mother,automatic baby gates,"my son can't escape his room when I have to do things like use the restroom, cook",Safety,5.0000
1048,170,woman,a shower head that washes my hair for me,I can bathe while it washes my hair for me,Health,3.3333
1049,169,home occupant,floors and counters that sanitize themselves,I don't have to worry about spreading germs constantly,Health,4.6667
1050,167,mother,"a ""smart fridge""","I can know what I need to buy from the grocery store, and get a list emailed to me",Other,4.6667
1051,173,pet owner,laser lights and toy balls to appear at random intervals,my cats and dogs are entertained when I am away from home,Entertainment,4.3333
1052,173,parent,to be alerted when my child leaves his or her bed at night,I know what my child is up to when he or she is supposed to be sleeping,Safety,5.0000
1054,170,student,a device that reads any book/notes I hover it over,I can study while doing other things,Other,5.0000
1055,167,home occupant,self sanitizing bathrooms,my family gets sick less often,Health,3.0000
1056,173,home owner,a list compiled of my energy usage per hour and what appliance is using what amount of energy,I can monitor my energy usage and cut back on areas where I am using too much energy,Energy,3.0000
1057,167,mother,A motion sensor on all doors,"I know which room my son is in at all times ( hes 8 months old, i'm not a helicopter :P )",Safety,2.6667
1058,173,home owner,my smoke alarms to regularly test themselves and report the results to me,I will always be assured that my smoke alarms are working in case of fire,Safety,4.5000
1059,167,wife,"""smart"" dinner system","I can easily track and find my familys favorite meals, and get a list of things i need for them vs what I already have in my smart fridge",Health,4.0000
1060,173,home owner,my house to test itself for radon levels twice a year,radon levels are always kept below the minimum and I am alerted if I need to install fans or circulators,Health,3.0000
1061,167,home owner,"""Live"" wallpaper","I can customize my homes wallpaper (probably via a projector or hologram) to fit my moods, and the situation ( entertaining, ect)",Other,3.0000
1062,170,home owner,Automatic lights that turn off whenever I leave the room,I can save on electricity bills,Energy,1.6667
1063,173,neighbor,to be alerted if there is no activity at my neighbor's house for a set extended period of time,I can inquire after the wellbeing of my neighbors if they have not been active after an extended period,Safety,4.3333
1064,173,pianist,be alerted when my piano needs tuning or is slightly out of tune,I can keep my piano well tuned,Entertainment,3.0000
1065,170,home owner,Restock-able Toilet  Paper,I wont have to take the toilet paper off of the roll and replace after its done,Other,4.0000
1066,170,home owner,Automatic Garbage that detects when it is full and Empties itself to the curb,I can save the energy used to have to take of the garbage,Health,2.5000
1067,170,home owner,Washing Machine that automatically dispenses Detergent based on the size of the load,save time,Health,4.0000
1069,168,home occupant,the bed itself to track sleep patterns and give suggestions,I can achieve a better night sleep and don't have to worry about wearing devices,Health,4.0000
1070,174,environmentalist,An Ac unit to turn off when it reaches a certain temperature. ,I will use less energy,Energy,3.3333
1071,168,light sleeper,light bulbs that can be triggered to slowly dim over a period of about half an hour to simulate the sun going down,I can more easily fall asleep and be rested,Health,2.6667
1072,170,home owner,voice automated phone,I can speak on the phone and make calls from anywhere in my home,Entertainment,3.0000
1073,168,scrupulous saver,"""piggy"" bank that tracks the money added and responds with congratulations and other comments",I can be encouraged to save,Health,3.0000
